"run","Blank","Consumer Shock Probability","Consumer Distribution Deviation","Consumer Initial Endowment","Consumer Income","Bank Assets Visible","Consumer Shock Multiplier","All Consumers Visible","Bank Initial Endowment","Consumer Mean Rate of Consumption","Consumer Short Term Payout","Bank Long Term Asset Return","Bank Short Term Asset Return","randomSeed","Consumer Long Term Payout","Expected Average Withdrawal","Bank Count","Consumer Count","Bank Cost 2","Consumer Group Size"
181,0.18,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667077436,1.73913,42500.0,1,100,5000.0,10
183,0.182,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667076721,1.73913,42500.0,1,100,5000.0,10
185,0.184,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667075967,1.73913,42500.0,1,100,5000.0,10
187,0.186,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667075192,1.73913,42500.0,1,100,5000.0,10
189,0.188,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667074295,1.73913,42500.0,1,100,5000.0,10
191,0.19,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667073440,1.73913,42500.0,1,100,5000.0,10
193,0.192,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667072740,1.73913,42500.0,1,100,5000.0,10
195,0.194,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667072015,1.73913,42500.0,1,100,5000.0,10
197,0.196,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667071344,1.73913,42500.0,1,100,5000.0,10
199,0.198,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667070547,1.73913,42500.0,1,100,5000.0,10
201,0.2,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667069722,1.73913,42500.0,1,100,5000.0,10
203,0.202,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667068878,1.73913,42500.0,1,100,5000.0,10
205,0.204,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667068237,1.73913,42500.0,1,100,5000.0,10
207,0.206,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667067300,1.73913,42500.0,1,100,5000.0,10
209,0.208,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667066046,1.73913,42500.0,1,100,5000.0,10
211,0.21,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667065011,1.73913,42500.0,1,100,5000.0,10
213,0.212,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667064202,1.73913,42500.0,1,100,5000.0,10
215,0.214,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667063424,1.73913,42500.0,1,100,5000.0,10
217,0.216,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667062581,1.73913,42500.0,1,100,5000.0,10
219,0.218,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667061808,1.73913,42500.0,1,100,5000.0,10
221,0.22,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667061062,1.73913,42500.0,1,100,5000.0,10
223,0.222,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667060377,1.73913,42500.0,1,100,5000.0,10
225,0.224,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667059662,1.73913,42500.0,1,100,5000.0,10
227,0.226,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667058964,1.73913,42500.0,1,100,5000.0,10
229,0.228,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667058287,1.73913,42500.0,1,100,5000.0,10
231,0.23,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667057558,1.73913,42500.0,1,100,5000.0,10
233,0.232,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667056863,1.73913,42500.0,1,100,5000.0,10
235,0.234,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667056139,1.73913,42500.0,1,100,5000.0,10
237,0.236,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667055311,1.73913,42500.0,1,100,5000.0,10
239,0.238,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667054433,1.73913,42500.0,1,100,5000.0,10
241,0.24,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667053701,1.73913,42500.0,1,100,5000.0,10
243,0.242,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667053053,1.73913,42500.0,1,100,5000.0,10
245,0.244,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667051851,1.73913,42500.0,1,100,5000.0,10
247,0.246,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667051065,1.73913,42500.0,1,100,5000.0,10
249,0.248,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667050270,1.73913,42500.0,1,100,5000.0,10
251,0.25,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667049464,1.73913,42500.0,1,100,5000.0,10
253,0.252,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667048800,1.73913,42500.0,1,100,5000.0,10
255,0.254,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667048027,1.73913,42500.0,1,100,5000.0,10
257,0.256,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667047072,1.73913,42500.0,1,100,5000.0,10
259,0.258,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667046340,1.73913,42500.0,1,100,5000.0,10
261,0.26,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667045595,1.73913,42500.0,1,100,5000.0,10
263,0.262,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667044963,1.73913,42500.0,1,100,5000.0,10
265,0.264,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667044318,1.73913,42500.0,1,100,5000.0,10
267,0.266,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667043630,1.73913,42500.0,1,100,5000.0,10
269,0.268,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667042806,1.73913,42500.0,1,100,5000.0,10
271,0.27,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667042076,1.73913,42500.0,1,100,5000.0,10
273,0.272,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667041335,1.73913,42500.0,1,100,5000.0,10
275,0.274,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667040705,1.73913,42500.0,1,100,5000.0,10
277,0.276,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667040049,1.73913,42500.0,1,100,5000.0,10
279,0.278,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667039238,1.73913,42500.0,1,100,5000.0,10
281,0.28,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667038340,1.73913,42500.0,1,100,5000.0,10
283,0.282,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667037618,1.73913,42500.0,1,100,5000.0,10
285,0.284,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667036700,1.73913,42500.0,1,100,5000.0,10
287,0.286,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667035356,1.73913,42500.0,1,100,5000.0,10
289,0.288,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667034428,1.73913,42500.0,1,100,5000.0,10
291,0.29,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667033809,1.73913,42500.0,1,100,5000.0,10
293,0.292,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667033129,1.73913,42500.0,1,100,5000.0,10
295,0.294,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667032426,1.73913,42500.0,1,100,5000.0,10
297,0.296,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667031588,1.73913,42500.0,1,100,5000.0,10
299,0.298,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667030829,1.73913,42500.0,1,100,5000.0,10
301,0.3,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667030040,1.73913,42500.0,1,100,5000.0,10
303,0.302,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667029319,1.73913,42500.0,1,100,5000.0,10
305,0.304,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667028550,1.73913,42500.0,1,100,5000.0,10
307,0.306,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667027861,1.73913,42500.0,1,100,5000.0,10
309,0.308,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667027135,1.73913,42500.0,1,100,5000.0,10
311,0.31,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667026382,1.73913,42500.0,1,100,5000.0,10
313,0.312,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667025728,1.73913,42500.0,1,100,5000.0,10
315,0.314,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667025083,1.73913,42500.0,1,100,5000.0,10
317,0.316,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667024244,1.73913,42500.0,1,100,5000.0,10
319,0.318,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667023587,1.73913,42500.0,1,100,5000.0,10
