run,Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Seen Panic Proportion,Bank Total Assets After Initial Withdrawals,Bank Net Worth
13,0,0,0,2766008.103,0,0,0.53968254,0,0,2.00E+07,2.24E+07,1.18E+07,8266138.142,81,2823870.888,0.476190476,63,2.24E+07,0,0,2.00E+07,-2405800.444
13,0,0,0,2595266.247,1.69E-06,0,0.491525424,0,0,2.40E+07,2.72E+07,1.22E+07,1.18E+07,93,2425890.654,0.474576271,59,2.72E+07,0,1.69E-07,2.40E+07,-3179394.959
13,0,0,0,2989396.6,1.72E-06,0,0.603448276,0,0,3.03E+07,3.30E+07,1.80E+07,1.22E+07,105,3039850.256,0.534482759,58,3.30E+07,0,1.72E-07,3.03E+07,-2692036.286
13,0,0,0,1833256.785,1.85E-06,0,0.37037037,0,0,3.84E+07,4.19E+07,2.03E+07,1.80E+07,117,1552506.862,0.333333333,54,4.19E+07,0,1.85E-07,3.84E+07,-3533336.045
13,0,0,0,2189651.15,0,0,0.461538462,0,0,5.09E+07,5.35E+07,3.06E+07,2.03E+07,129,1922771.434,0.423076923,52,5.35E+07,0,0,5.09E+07,-2574622.866
13,0,0,0,2405952.805,0,0,0.56,0,0,6.48E+07,6.80E+07,3.42E+07,3.06E+07,141,2429242.556,0.54,50,6.80E+07,0,0,6.48E+07,-3220683.713
15,0,0,0,4746557.587,1.00E-06,0,0.51,0,0,1.14E+07,1.31E+07,5623645.573,5750001.438,9,4376354.427,0.51,100,1.31E+07,0,1.00E-07,1.14E+07,-1775376.194
15,0,0,0,5129921.325,0,0,0.51,0,0,1.13E+07,1.31E+07,5724174.327,5623645.573,21,4329293.339,0.47,100,1.31E+07,0,0,1.13E+07,-1735057.672
15,0,0,0,4459440.345,0,0,0.541666667,0,0,1.18E+07,1.35E+07,6039565.884,5724174.327,33,4496360.278,0.427083333,96,1.35E+07,0,0,1.18E+07,-1777756.689
15,0,0,0,3169266.695,1.18E-06,0,0.423529412,0,0,1.31E+07,1.50E+07,7102774.899,6039565.884,45,2926861.203,0.388235294,85,1.50E+07,0,1.18E-07,1.31E+07,-1859661.804
15,0,0,0,2948626.409,0,0,0.451219512,0,0,1.49E+07,1.71E+07,7833284.125,7102774.899,57,3102535.865,0.341463415,82,1.71E+07,0,0,1.49E+07,-2167748.342
15,0,0,0,2559850.789,0,0,0.465753425,0,0,1.77E+07,1.99E+07,9865750.726,7833284.125,69,2866796.826,0.356164384,73,1.99E+07,0,0,1.77E+07,-2250008.438
15,0,0,0,3123549.028,1.54E-06,0,0.553846154,0,0,2.07E+07,2.33E+07,1.08E+07,9865750.726,81,3149632.4,0.492307692,65,2.33E+07,0,1.54E-07,2.07E+07,-2653505.727
15,0,0,0,2065653.081,0,0,0.37704918,0,0,2.66E+07,2.90E+07,1.58E+07,1.08E+07,93,1804590.311,0.360655738,61,2.90E+07,0,0,2.66E+07,-2432690.685
15,0,0,0,3187270.554,1.67E-06,0,0.6,0,0,3.20E+07,3.53E+07,1.62E+07,1.58E+07,105,3078316.717,0.583333333,60,3.53E+07,0,1.67E-07,3.20E+07,-3271608.58
15,0,0,0,1864751.579,0,0,0.355932203,0,0,4.29E+07,4.49E+07,2.67E+07,1.62E+07,117,1626953.195,0.338983051,59,4.49E+07,0,0,4.29E+07,-1970132.096
15,0,0,0,2026472.191,0,0,0.396551724,0,0,5.40E+07,5.74E+07,2.73E+07,2.67E+07,129,1869853.336,0.379310345,58,5.74E+07,0,0,5.40E+07,-3409310.874
15,0,0,0,2779869.797,1.75E-06,0,0.50877193,0,0,7.31E+07,7.33E+07,4.59E+07,2.73E+07,141,2435846.83,0.50877193,57,7.33E+07,0,1.75E-07,7.31E+07,-115712.4433
17,0,0,0,4012341.861,0,0,0.45,0,0,1.21E+07,1.39E+07,6334823.624,5750001.438,9,3665176.376,0.45,100,1.39E+07,0,0,1.21E+07,-1775376.194
17,0,0,0,5347757.514,0,0,0.57,0,0,1.14E+07,1.33E+07,5039052.084,6334823.624,21,5007869.53,0.55,100,1.33E+07,0,0,1.14E+07,-1955254.19
17,0,0,0,4022835.847,0,0,0.551020408,0,0,1.24E+07,1.39E+07,7341812.829,5039052.084,33,4747020.785,0.397959184,98,1.39E+07,0,0,1.24E+07,-1504183.805
17,0,0,0,3494967.26,0,0,0.469879518,0,0,1.30E+07,1.53E+07,5672906.113,7341812.829,45,3241733.36,0.409638554,83,1.53E+07,0,0,1.30E+07,-2248841.701
17,0,0,0,3018958.23,0,0,0.512820513,0,0,1.57E+07,1.72E+07,9996154.846,5672906.113,57,3282862.08,0.41025641,78,1.72E+07,0,0,1.57E+07,-1578870.929
17,0,0,0,3432553.012,0,0,0.528571429,0,0,1.68E+07,1.97E+07,6801793.744,9996154.846,69,3257405.888,0.457142857,70,1.97E+07,0,0,1.68E+07,-2870360.794
17,0,0,0,3297055.646,0,0,0.569230769,0,0,2.15E+07,2.29E+07,1.47E+07,6801793.744,81,3316554.495,0.507692308,65,2.29E+07,0,0,2.15E+07,-1420086.392
17,0,0,0,2033944.021,0,0,0.393442623,0,0,2.47E+07,2.83E+07,1.00E+07,1.47E+07,93,1961549.278,0.344262295,61,2.83E+07,0,0,2.47E+07,-3565572.16
17,0,0,0,2662772.024,0,0,0.5,0,0,3.39E+07,3.49E+07,2.39E+07,1.00E+07,105,2386128.198,0.482758621,58,3.49E+07,0,0,3.39E+07,-1006908.98
17,0,0,0,3065232.742,1.75E-06,0,0.578947368,0,0,3.88E+07,4.31E+07,1.49E+07,2.39E+07,117,2894969.139,0.578947368,57,4.31E+07,0,1.75E-07,3.88E+07,-4308749.769
17,0,0,0,3001863.489,1.75E-06,0,0.596491228,0,0,5.51E+07,5.40E+07,4.02E+07,1.49E+07,129,3019225.071,0.561403509,57,5.40E+07,0,1.75E-07,5.51E+07,1114877.937
17,0,0,0,2492728.067,0,0,0.472727273,0,0,6.47E+07,6.89E+07,2.45E+07,4.02E+07,141,2246610.066,0.472727273,55,6.89E+07,0,0,6.47E+07,-4191937.191
