,Values,,,,,
Row Labels,Average of PanicFlag,Average of PanicPanic,Average of LiquidityPanic,Average of PurePanic,Average of NeighborPanicCount,Average of PanicProportion
70,0.360196216,0.170988087,0.358794674,0.26419061,2.475122635,1.40154E-10
71,0.354512635,0.179783394,0.349458484,0.275812274,2.500361011,0
72,0.352331606,0.168763879,0.349370836,0.275351591,2.515173945,0.001480385
73,0.378398792,0.203927492,0.373111782,0.286253776,2.549848943,0.000755287
74,0.372093023,0.185271318,0.366666667,0.280620155,2.62248062,1.55039E-10
75,0.357429719,0.170281124,0.353413655,0.275502008,2.703614458,8.03213E-11
76,0.390909091,0.202479339,0.384297521,0.304132231,2.694214876,1.65289E-10
77,0.381556684,0.192047377,0.377326565,0.292724196,2.79357022,0.000846024
78,0.377835951,0.181500873,0.371727749,0.293193717,2.730366492,2.6178E-10
79,0.36,0.177272727,0.354545455,0.273636364,2.751818182,0.000909091
80,0.384180791,0.215630885,0.382297552,0.277777778,2.836158192,0.00094162
81,0.380952381,0.187560739,0.37414966,0.310009718,2.835762877,0
82,0.392456677,0.195718654,0.386340469,0.305810398,2.934760449,1.01937E-10
83,0.395987328,0.196409715,0.389651531,0.307286167,2.928194298,0.001055966
84,0.39558011,0.2,0.393370166,0.309392265,2.956906077,0.001104973
85,0.410611303,0.212226067,0.402537486,0.317185698,3.048442907,0.002306805
86,0.432304038,0.197149644,0.425178147,0.356294537,3,1.18765E-10
87,0.388409371,0.176325524,0.38594328,0.300863132,3.035758323,1.23305E-10
88,0.410322581,0.183225806,0.40516129,0.340645161,3.083870968,0.002580645
89,0.428187919,0.197315436,0.422818792,0.353020134,3.051006711,0.004026846
90,0.42679558,0.208563536,0.424033149,0.337016575,3.19198895,1.38122E-10
91,0.383426966,0.185393258,0.377808989,0.303370787,3.151685393,0
92,0.447826087,0.211594203,0.434782609,0.363768116,3.166666667,2.89855E-10
93,0.384164223,0.197947214,0.370967742,0.319648094,3.312316716,0.002932551
94,0.403846154,0.189349112,0.390532544,0.338757396,3.375739645,0
95,0.454814815,0.223703704,0.445925926,0.377777778,3.364444444,0
96,0.426865672,0.232835821,0.414925373,0.356716418,3.447761194,0.002985075
97,0.443113772,0.218562874,0.434131737,0.374251497,3.491017964,0.001497006
98,0.392215569,0.211077844,0.378742515,0.339820359,3.607784431,0.002994012
99,0.473053892,0.248502994,0.456586826,0.378742515,3.491017964,0.004491018
100,0.429640719,0.22005988,0.417664671,0.347305389,3.598802395,0
(blank),,,,,,
Grand Total,0.232642941,0.089791811,0.231525661,0.161841063,1.097731386,0.000344367
